Class Name;Number of Bugs;Number of Revisions;Number of Commiters;Commiters weighted with experience;Commiters weighted with involvement;Number of Modified Lines;Number of Modified Lines weighted with experience;Number of Modified Lines weighted with involvement;;WMC;DIT;NOC;CBO;RFC;LCOM;CA;CE;NPM;LCOM3;LOC;DAM;MOA;MFA;CAM;IC;CBM;AMC
org/apache/poi/util/ShortField;0;1;1;0.02515723270440251;0.9766397124887691;67;1.6855345911949682;65.43486073674754;;11;1;0;5;20;9;2;3;11;0.25;91;1.0;0;0.0;0.45454545454545453;0;0;7.090909090909091
org/apache/poi/hssf/record/UnicodeString;0;1;1;0.02515723270440251;0.9766397124887691;68;1.7106918238993707;66.4115004492363;;25;2;0;9;52;228;6;3;20;0.7708333333333334;417;0.8333333333333334;0;0.35294117647058826;0.25142857142857145;2;6;15.44
org/apache/poi/util/LittleEndian;1;2;2;0.05121293800539084;1.973045822102426;100;2.542677448337826;98.25696316262355;;35;1;0;187;43;595;185;2;32;2.0;379;0.0;0;0.0;0.2;0;0;9.82857142857143
org/apache/poi/hssf/usermodel/HSSFHeader;0;1;1;0.02515723270440251;0.9766397124887691;66;1.6603773584905657;64.45822102425876;;16;1;0;2;30;88;1;1;14;0.6833333333333333;247;0.0;1;0.0;0.21875;0;0;14.1875
org/apache/poi/hssf/record/formula/ExpPtg;0;3;3;0.02605570530098833;2.9514824797843664;80;1.7897574123989215;78.23629829290208;;7;2;0;3;10;9;2;2;7;0.9444444444444445;69;0.6666666666666666;0;0.6875;0.42857142857142855;1;4;8.428571428571429
org/apache/poi/ddf/EscherBoolProperty;0;3;1;0.02515723270440251;0.9766397124887691;19;0.4779874213836477;18.556154537286613;;3;3;0;4;4;1;3;1;3;2.0;24;0.0;0;0.875;0.5555555555555556;0;0;7.0
org/apache/poi/hssf/record/formula/StringPtg;1;3;2;0.02605570530098833;1.9559748427672956;126;1.7142857142857149;123.21832884097034;;9;2;0;5;22;2;2;4;8;0.6666666666666667;201;0.16666666666666666;1;0.6470588235294118;0.3333333333333333;1;4;20.666666666666668
org/apache/poi/hssf/record/ExternSheetRecord;0;2;2;0.02605570530098833;1.9559748427672956;299;1.9182389937106952;292.6379155435759;;14;2;0;6;33;65;2;4;12;0.7435897435897437;227;0.6666666666666666;0;0.5217391304347826;0.4;1;6;15.0
org/apache/poi/hssf/record/formula/LessThanPtg;0;2;2;0.02605570530098833;1.9559748427672956;74;1.691823899371069;72.29020664869722;;10;3;0;4;14;45;2;2;10;1.1111111111111112;63;0.3333333333333333;0;0.6521739130434783;0.32;1;4;5.0
org/apache/poi/poifs/common/POIFSConstants;0;1;1;0.02515723270440251;0.9766397124887691;66;1.6603773584905657;64.45822102425876;;0;1;0;0;0;0;0;0;0;2.0;4;0.0;0;0.0;0.0;0;0;0.0
